exercise_id,name,description,category,movement_pattern,primary_body_area,secondary_body_areas,difficulty,intensity,equipment,workout_locations,space_requirement,estimated_duration_minutes,recommended_repetitions,recommended_sets,beginner_friendly,low_impact,involves_jumping,involves_kneeling,involves_overhead_movement,involves_floor_position,involves_deep_squat,involves_single_leg_balance,high_impact,cardio,strength,mobility,flexibility,balance,core,relaxation,supports_general_fitness,supports_weight_management,supports_strength,supports_endurance,supports_mobility,supports_flexibility,supports_stress_reduction,supports_cardio,instructions,safety_notes,tags
EX012,Treadmill Walk,A low-intensity cardio exercise focused on full body movement.,cardio,walk,full_body,upper_body|lower_body,beginner,low,treadmill,gym,large,15,30-60 seconds,1-2 rounds,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,True,Perform treadmill walk with controlled movement and stop if the motion feels unsafe or painful.,"Use a stable surface, keep a comfortable range of motion, and seek professional advice when unsure.",cardio|walk|full_body|low
EX013,Treadmill Incline Walk,A moderate-intensity cardio exercise focused on legs movement.,cardio,walk,legs,lower_body|hips,intermediate,moderate,treadmill,gym,large,15,30-60 seconds,2-3 rounds,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,Perform treadmill incline walk with controlled movement and stop if the motion feels unsafe or painful.,"Use a stable surface, keep a comfortable range of motion, and seek professional advice when unsure.",cardio|walk|legs|moderate
EX014,Stationary Cycling,A moderate-intensity cardio exercise focused on legs movement.,cardio,cycle,legs,lower_body|hips,beginner,moderate,stationary_bike,gym,small,15,30-60 seconds,1-2 rounds,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,True,Perform stationary cycling with controlled movement and stop if the motion feels unsafe or painful.,"Use a stable surface, keep a comfortable range of motion, and seek professional advice when unsure.",cardio|cycle|legs|moderate
EX015,Fast Stationary Cycling,A high-intensity cardio exercise focused on legs movement.,cardio,cycle,legs,lower_body|hips,advanced,high,stationary_bike,gym,small,12,30-60 seconds,2-3 rounds,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,Perform fast stationary cycling with controlled movement and stop if the motion feels unsafe or painful.,"Use a stable surface, keep a comfortable range of motion, and seek professional advice when unsure.",cardio|cycle|legs|high
EX016,Step-Ups,A moderate-intensity cardio exercise focused on legs movement.,cardio,step,legs,lower_body|hips,intermediate,moderate,step,home|gym,small,10,30-60 seconds,2-3 rounds,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,True,True,False,False,False,True,Perform step-ups with controlled movement and stop if the motion feels unsafe or painful.,"Use a stable surface, keep a comfortable range of motion, and seek professional advice when unsure.",cardio|step|legs|moderate
EX017,Wall Push-Ups,A low-intensity strength exercise focused on chest movement.,strength,push,chest,upper_body|arms,beginner,low,wall,home|gym,small,8,8-12 repetitions,1-2 rounds,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False,Perform wall push-ups with controlled movement and stop if the motion feels unsafe or painful.,"Use a stable surface, keep a comfortable range of motion, and seek professional advice when unsure.",strength|push|chest|low
EX018,Incline Bench Push-Ups,A moderate-intensity strength exercise focused on chest movement.,strength,push,chest,upper_body|arms,intermediate,moderate,bench,gym,small,8,8-12 repetitions,2-3 rounds,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False,Perform incline bench push-ups with controlled movement and stop if the motion feels unsafe or painful.,"Use a stable surface, keep a comfortable range of motion, and seek professional advice when unsure.",strength|push|chest|moderate
EX019,Kneeling Push-Ups,A moderate-intensity strength exercise focused on chest movement.,strength,push,chest,upper_body|arms,intermediate,moderate,mat,home|gym,small,8,8-12 repetitions,2-3 rounds,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,Perform kneeling push-ups with controlled movement and stop if the motion feels unsafe or painful.,"Use a stable surface, keep a comfortable range of motion, and seek professional advice when unsure.",strength|push|chest|moderate
EX020,Standard Push-Ups,A high-intensity strength exercise focused on chest movement.,strength,push,chest,upper_body|arms,advanced,high,none,home|gym|outdoors,small,8,8-12 repetitions,2-3 rounds,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,Perform standard push-ups with controlled movement and stop if the motion feels unsafe or painful.,"Use a stable surface, keep a comfortable range of motion, and seek professional advice when unsure.",strength|push|chest|high
EX021,Chair Squats,A low-intensity strength exercise focused on legs movement.,strength,squat,legs,lower_body|hips,beginner,low,chair,home|gym,small,8,8-12 repetitions,1-2 rounds,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False,Perform chair squats with controlled movement and stop if the motion feels unsafe or painful.,"Use a stable surface, keep a comfortable range of motion, and seek professional advice when unsure.",strength|squat|legs|low
EX022,Bodyweight Squats,A moderate-intensity strength exercise focused on legs movement.,strength,squat,legs,lower_body|hips,intermediate,moderate,none,home|gym|outdoors,small,8,8-12 repetitions,2-3 rounds,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,True,True,False,False,False,False,Perform bodyweight squats with controlled movement and stop if the motion feels unsafe or painful.,"Use a stable surface, keep a comfortable range of motion, and seek professional advice when unsure.",strength|squat|legs|moderate
EX023,Goblet Squats,A moderate-intensity strength exercise focused on legs movement.,strength,squat,legs,lower_body|hips,intermediate,moderate,kettlebell,home|gym,small,10,8-12 repetitions,2-3 rounds,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,Perform goblet squats with controlled movement and stop if the motion feels unsafe or painful.,"Use a stable surface, keep a comfortable range of motion, and seek professional advice when unsure.",strength|squat|legs|moderate
EX024,Dumbbell Front Squats,A high-intensity strength exercise focused on legs movement.,strength,squat,legs,lower_body|hips,advanced,high,dumbbells,gym,small,10,8-12 repetitions,2-3 rounds,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,Perform dumbbell front squats with controlled movement and stop if the motion feels unsafe or painful.,"Use a stable surface, keep a comfortable range of motion, and seek professional advice when unsure.",strength|squat|legs|high
EX025,Reverse Lunges,A moderate-intensity strength exercise focused on legs movement.,strength,lunge,legs,lower_body|hips,intermediate,moderate,none,home|gym|outdoors,small,8,8-12 repetitions,2-3 rounds,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False,Perform reverse lunges with controlled movement and stop if the motion feels unsafe or painful.,"Use a stable surface, keep a comfortable range of motion, and seek professional advice when unsure.",strength|lunge|legs|moderate
EX026,Supported Reverse Lunges,A low-intensity strength exercise focused on legs movement.,strength,lunge,legs,lower_body|hips,beginner,low,chair,home|gym,small,8,8-12 repetitions,1-2 rounds,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,Perform supported reverse lunges with controlled movement and stop if the motion feels unsafe or painful.,"Use a stable surface, keep a comfortable range of motion, and seek professional advice when unsure.",strength|lunge|legs|low
EX027,Forward Lunges,A moderate-intensity strength exercise focused on legs movement.,strength,lunge,legs,lower_body|hips,intermediate,moderate,none,home|gym|outdoors,small,8,8-12 repetitions,2-3 rounds,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,Perform forward lunges with controlled movement and stop if the motion feels unsafe or painful.,"Use a stable surface, keep a comfortable range of motion, and seek professional advice when unsure.",strength|lunge|legs|moderate
EX028,Dumbbell Romanian Deadlift,A moderate-intensity strength exercise focused on legs movement.,strength,hinge,legs,lower_body|hips,intermediate,moderate,dumbbells,gym,small,10,8-12 repetitions,2-3 rounds,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,Perform dumbbell romanian deadlift with controlled movement and stop if the motion feels unsafe or painful.,"Use a stable surface, keep a comfortable range of motion, and seek professional advice when unsure.",strength|hinge|legs|moderate
EX029,Kettlebell Deadlift,A moderate-intensity strength exercise focused on legs movement.,strength,hinge,legs,lower_body|hips,beginner,moderate,kettlebell,home|gym,small,10,8-12 repetitions,1-2 rounds,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,Perform kettlebell deadlift with controlled movement and stop if the motion feels unsafe or painful.,"Use a stable surface, keep a comfortable range of motion, and seek professional advice when unsure.",strength|hinge|legs|moderate
EX030,Good Morning,A low-intensity strength exercise focused on back movement.,strength,hinge,back,upper_body|core,intermediate,low,none,home|gym,small,8,8-12 repetitions,2-3 rounds,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,Perform good morning with controlled movement and stop if the motion feels unsafe or painful.,"Use a stable surface, keep a comfortable range of motion, and seek professional advice when unsure.",strength|hinge|back|low
EX031,Standing Calf Raises,A low-intensity strength exercise focused on legs movement.,strength,calf_raise,legs,lower_body|hips,beginner,low,none,home|gym|outdoors,small,6,8-12 repetitions,1-2 rounds,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False,Perform standing calf raises with controlled movement and stop if the motion feels unsafe or painful.,"Use a stable surface, keep a comfortable range of motion, and seek professional advice when unsure.",strength|calf_raise|legs|low
EX032,Single-Leg Calf Raises,A moderate-intensity strength exercise focused on legs movement.,strength,calf_raise,legs,lower_body|hips,intermediate,moderate,none,home|gym,small,7,8-12 repetitions,2-3 rounds,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,Perform single-leg calf raises with controlled movement and stop if the motion feels unsafe or painful.,"Use a stable surface, keep a comfortable range of motion, and seek professional advice when unsure.",strength|calf_raise|legs|moderate
EX033,Resistance-Band Rows,A moderate-intensity strength exercise focused on back movement.,strength,pull,back,upper_body|core,beginner,moderate,resistance_band,home|gym,small,8,8-12 repetitions,1-2 rounds,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False,Perform resistance-band rows with controlled movement and stop if the motion feels unsafe or painful.,"Use a stable surface, keep a comfortable range of motion, and seek professional advice when unsure.",strength|pull|back|moderate
EX034,Seated Resistance-Band Rows,A low-intensity strength exercise focused on back movement.,strength,pull,back,upper_body|core,beginner,low,resistance_band|chair,home|gym,small,8,8-12 repetitions,1-2 rounds,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,Perform seated resistance-band rows with controlled movement and stop if the motion feels unsafe or painful.,"Use a stable surface, keep a comfortable range of motion, and seek professional advice when unsure.",strength|pull|back|low
EX035,One-Arm Dumbbell Rows,A moderate-intensity strength exercise focused on back movement.,strength,pull,back,upper_body|core,intermediate,moderate,dumbbells|bench,gym,small,10,8-12 repetitions,2-3 rounds,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,Perform one-arm dumbbell rows with controlled movement and stop if the motion feels unsafe or painful.,"Use a stable surface, keep a comfortable range of motion, and seek professional advice when unsure.",strength|pull|back|moderate
EX036,Dumbbell Biceps Curls,A low-intensity strength exercise focused on arms movement.,strength,curl,arms,upper_body|shoulders,beginner,low,dumbbells,home|gym,small,7,8-12 repetitions,1-2 rounds,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,Perform dumbbell biceps curls with controlled movement and stop if the motion feels unsafe or painful.,"Use a stable surface, keep a comfortable range of motion, and seek professional advice when unsure.",strength|curl|arms|low
EX037,Resistance-Band Biceps Curls,A low-intensity strength exercise focused on arms movement.,strength,curl,arms,upper_body|shoulders,beginner,low,resistance_band,home|gym,small,7,8-12 repetitions,1-2 rounds,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,Perform resistance-band biceps curls with controlled movement and stop if the motion feels unsafe or painful.,"Use a stable surface, keep a comfortable range of motion, and seek professional advice when unsure.",strength|curl|arms|low
EX038,Dumbbell Shoulder Press,A moderate-intensity strength exercise focused on shoulders movement.,strength,overhead_press,shoulders,upper_body|arms,intermediate,moderate,dumbbells,home|gym,small,8,8-12 repetitions,2-3 rounds,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,Perform dumbbell shoulder press with controlled movement and stop if the motion feels unsafe or painful.,"Use a stable surface, keep a comfortable range of motion, and seek professional advice when unsure.",strength|overhead_press|shoulders|moderate
EX039,Seated Dumbbell Shoulder Press,A moderate-intensity strength exercise focused on shoulders movement.,strength,overhead_press,shoulders,upper_body|arms,intermediate,moderate,dumbbells|chair,home|gym,small,8,8-12 repetitions,2-3 rounds,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,Perform seated dumbbell shoulder press with controlled movement and stop if the motion feels unsafe or painful.,"Use a stable surface, keep a comfortable range of motion, and seek professional advice when unsure.",strength|overhead_press|shoulders|moderate
EX040,Resistance-Band Chest Press,A low-intensity strength exercise focused on chest movement.,strength,push,chest,upper_body|arms,beginner,low,resistance_band,home|gym,small,8,8-12 repetitions,1-2 rounds,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,Perform resistance-band chest press with controlled movement and stop if the motion feels unsafe or painful.,"Use a stable surface, keep a comfortable range of motion, and seek professional advice when unsure.",strength|push|chest|low
EX041,Glute Bridges,A low-intensity strength exercise focused on hips movement.,strength,bridge,hips,lower_body|core,beginner,low,mat,home|gym,small,8,8-12 repetitions,1-2 rounds,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,Perform glute bridges with controlled movement and stop if the motion feels unsafe or painful.,"Use a stable surface, keep a comfortable range of motion, and seek professional advice when unsure.",strength|bridge|hips|low
EX042,Single-Leg Glute Bridges,A moderate-intensity strength exercise focused on hips movement.,strength,bridge,hips,lower_body|core,advanced,moderate,mat,home|gym,small,9,8-12 repetitions,2-3 rounds,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,Perform single-leg glute bridges with controlled movement and stop if the motion feels unsafe or painful.,"Use a stable surface, keep a comfortable range of motion, and seek professional advice when unsure.",strength|bridge|hips|moderate
EX043,Standing Side Leg Raises,A low-intensity strength exercise focused on hips movement.,strength,abduction,hips,lower_body|core,beginner,low,none,home|gym,small,7,8-12 repetitions,1-2 rounds,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,Perform standing side leg raises with controlled movement and stop if the motion feels unsafe or painful.,"Use a stable surface, keep a comfortable range of motion, and seek professional advice when unsure.",strength|abduction|hips|low
EX044,Resistance-Band Side Steps,A moderate-intensity strength exercise focused on hips movement.,strength,lateral_step,hips,lower_body|core,intermediate,moderate,resistance_band,home|gym,small,8,8-12 repetitions,2-3 rounds,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False,Perform resistance-band side steps with controlled movement and stop if the motion feels unsafe or painful.,"Use a stable surface, keep a comfortable range of motion, and seek professional advice when unsure.",strength|lateral_step|hips|moderate
EX045,Arm Circles,A low-intensity mobility exercise focused on shoulders movement.,mobility,arm_circle,shoulders,upper_body|arms,beginner,low,none,home|gym|outdoors,small,4,30-60 seconds,1-2 rounds,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,Perform arm circles with controlled movement and stop if the motion feels unsafe or painful.,"Use a stable surface, keep a comfortable range of motion, and seek professional advice when unsure.",mobility|arm_circle|shoulders|low
EX046,Shoulder Rolls,A low-intensity mobility exercise focused on shoulders movement.,mobility,shoulder_roll,shoulders,upper_body|arms,beginner,low,none,home|gym|outdoors,small,4,30-60 seconds,1-2 rounds,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,Perform shoulder rolls with controlled movement and stop if the motion feels unsafe or painful.,"Use a stable surface, keep a comfortable range of motion, and seek professional advice when unsure.",mobility|shoulder_roll|shoulders|low
EX047,Standing Torso Rotations,A low-intensity mobility exercise focused on core movement.,mobility,rotation,core,back|full_body,beginner,low,none,home|gym|outdoors,small,5,30-60 seconds,1-2 rounds,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,Perform standing torso rotations with controlled movement and stop if the motion feels unsafe or painful.,"Use a stable surface, keep a comfortable range of motion, and seek professional advice when unsure.",mobility|rotation|core|low
EX048,Standing Hip Circles,A low-intensity mobility exercise focused on hips movement.,mobility,hip_circle,hips,lower_body|core,beginner,low,none,home|gym|outdoors,small,5,30-60 seconds,1-2 rounds,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,Perform standing hip circles with controlled movement and stop if the motion feels unsafe or painful.,"Use a stable surface, keep a comfortable range of motion, and seek professional advice when unsure.",mobility|hip_circle|hips|low
EX049,Ankle Circles,A low-intensity mobility exercise focused on legs movement.,mobility,ankle_circle,legs,lower_body|hips,beginner,low,chair,home|gym,small,4,30-60 seconds,1-2 rounds,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,Perform ankle circles with controlled movement and stop if the motion feels unsafe or painful.,"Use a stable surface, keep a comfortable range of motion, and seek professional advice when unsure.",mobility|ankle_circle|legs|low
EX050,Cat-Cow Stretch,A low-intensity mobility exercise focused on back movement.,mobility,spinal_mobility,back,upper_body|core,beginner,low,mat,home|gym,small,6,30-60 seconds,1-2 rounds,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,Perform cat-cow stretch with controlled movement and stop if the motion feels unsafe or painful.,"Use a stable surface, keep a comfortable range of motion, and seek professional advice when unsure.",mobility|spinal_mobility|back|low
EX051,Bird Dog,A low-intensity core exercise focused on core movement.,core,cross_body,core,back|full_body,beginner,low,mat,home|gym,small,8,8-12 repetitions,1-2 rounds,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,Perform bird dog with controlled movement and stop if the motion feels unsafe or painful.,"Use a stable surface, keep a comfortable range of motion, and seek professional advice when unsure.",core|cross_body|core|low
EX052,Dead Bug,A low-intensity core exercise focused on core movement.,core,cross_body,core,back|full_body,beginner,low,mat,home|gym,small,8,8-12 repetitions,1-2 rounds,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,Perform dead bug with controlled movement and stop if the motion feels unsafe or painful.,"Use a stable surface, keep a comfortable range of motion, and seek professional advice when unsure.",core|cross_body|core|low
EX053,Forearm Plank,A moderate-intensity core exercise focused on core movement.,core,plank,core,back|full_body,intermediate,moderate,mat,home|gym,small,6,8-12 repetitions,2-3 rounds,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,False,False,Perform forearm plank with controlled movement and stop if the motion feels unsafe or painful.,"Use a stable surface, keep a comfortable range of motion, and seek professional advice when unsure.",core|plank|core|moderate
EX054,Kneeling Modified Plank,A low-intensity core exercise focused on core movement.,core,plank,core,back|full_body,beginner,low,mat,home|gym,small,6,8-12 repetitions,1-2 rounds,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,Perform kneeling modified plank with controlled movement and stop if the motion feels unsafe or painful.,"Use a stable surface, keep a comfortable range of motion, and seek professional advice when unsure.",core|plank|core|low
EX055,Side Plank,A high-intensity core exercise focused on core movement.,core,side_plank,core,back|full_body,advanced,high,mat,home|gym,small,6,8-12 repetitions,2-3 rounds,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,Perform side plank with controlled movement and stop if the motion feels unsafe or painful.,"Use a stable surface, keep a comfortable range of motion, and seek professional advice when unsure.",core|side_plank|core|high
EX056,Seated Knee Lifts,A low-intensity core exercise focused on core movement.,core,knee_lift,core,back|full_body,beginner,low,chair,home|gym,small,7,8-12 repetitions,1-2 rounds,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,False,False,Perform seated knee lifts with controlled movement and stop if the motion feels unsafe or painful.,"Use a stable surface, keep a comfortable range of motion, and seek professional advice when unsure.",core|knee_lift|core|low
EX057,Standing Knee-to-Elbow,A moderate-intensity core exercise focused on core movement.,core,cross_body,core,back|full_body,intermediate,moderate,none,home|gym|outdoors,small,8,8-12 repetitions,2-3 rounds,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,True,False,False,False,False,Perform standing knee-to-elbow with controlled movement and stop if the motion feels unsafe or painful.,"Use a stable surface, keep a comfortable range of motion, and seek professional advice when unsure.",core|cross_body|core|moderate
EX058,Seated Hamstring Stretch,A low-intensity flexibility exercise focused on legs movement.,flexibility,hamstring_stretch,legs,lower_body|hips,beginner,low,chair,home|gym,small,6,30-60 seconds,1-2 rounds,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,Perform seated hamstring stretch with controlled movement and stop if the motion feels unsafe or painful.,"Use a stable surface, keep a comfortable range of motion, and seek professional advice when unsure.",flexibility|hamstring_stretch|legs|low
EX059,Standing Hamstring Stretch,A low-intensity flexibility exercise focused on legs movement.,flexibility,hamstring_stretch,legs,lower_body|hips,beginner,low,none,home|gym|outdoors,small,6,30-60 seconds,1-2 rounds,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,Perform standing hamstring stretch with controlled movement and stop if the motion feels unsafe or painful.,"Use a stable surface, keep a comfortable range of motion, and seek professional advice when unsure.",flexibility|hamstring_stretch|legs|low
EX060,Standing Quadriceps Stretch,A low-intensity flexibility exercise focused on legs movement.,flexibility,quadriceps_stretch,legs,lower_body|hips,beginner,low,none,home|gym|outdoors,small,5,30-60 seconds,1-2 rounds,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,Perform standing quadriceps stretch with controlled movement and stop if the motion feels unsafe or painful.,"Use a stable surface, keep a comfortable range of motion, and seek professional advice when unsure.",flexibility|quadriceps_stretch|legs|low
